homepage,country
https://www.nytimes.com,USA
https://www.thehindu.com,India
https://www.eluniversal.com.mx,Mexico
http://www.dailystar.com.lb,Lebanon
https://24.hu,Hungary
https://elcomercio.pe,Peru
https://kurier.at,Austria
https://lequotidien.lu,Luxembourg
https://oglobo.globo.com,Brazil
https://punchng.com,Nigeria
https://riotimesonline.com,Brazil
https://timesofindia.indiatimes.com,India
https://www.aftenposten.no,Norway
https://www.al-sharq.com,Qatar
https://www.chicagotribune.com,USA
https://www.clarin.com,Argentina
https://www.dawn.com,Pakistan
https://www.demorgen.be,Belgium
https://www.elpais.com.uy,Uruguay
https://www.estadao.com.br,Brazil
https://www.foxnews.com,USA
https://www.hurriyet.com.tr,Turkey
https://www.jornada.com.mx,Mexico
https://www.jpost.com,Israel
https://www.kathimerini.gr,Greece
https://www.lapresse.ca,Canada
https://www.larazon.es,Spain
https://www.lefigaro.fr,France
https://www.lemonde.fr,France
https://www.lesoir.be,Belgium
https://www.liberation.fr,France
https://www.liberoquotidiano.it,Italy
https://www.lidovky.cz,Czech Republic
https://www.livemint.com,India
https://www.standaard.be,Belgium
https://www.startribune.com,USA
https://www.tageblatt.lu,Luxembourg
https://www.zeit.de,Germany
https://www.thestar.com.my,Malaysia
https://www.volkskrant.nl,Netherlands
